"Row.names","p.value_activities.x","Non_reponder_mean.mean of x","Responder.mean of y","logFC","AveExpr","t","P.Value","adj.P.Val","B","p.value_activities.y","Responser at relapse.mean of x","Responder at Baseline.mean of y"
"A1BG",1,0,0,0.808139240782431,1.95361468894724,1.94760710225409,0.0645735047236723,0.977208286870888,-4.42316086997631,1,0,0
"A1CF",1,0,0,0.520439907928123,-7.0255882394194,1.09647705210599,0.284941603051493,0.977208286870888,-4.58668713831683,1,0,0
"A2BP1",1,0,0,0.507712374336768,-7.34245927059597,0.986626499212982,0.334746753848596,0.977208286870888,-4.60280501898037,1,0,0
"A2LD1",1,0,0,1.12443029972611,-3.15747349686504,1.59214229457036,0.125878932237886,0.977208286870888,-4.49848594515829,1,0,0
"A2M",1,0,0,2.08082952693049,-3.01276543275074,2.60642100760096,0.0162552790858267,0.977208286870888,-4.26892703698936,1,0,0
"A2ML1",1,0,0,0.0499094826631663,3.71585043890372,0.0812252368180248,0.936010574434631,0.991152096535733,-4.67439410659629,1,0,0
"A4GALT",1,0,0,-3.17615893055898,-1.06310428415249,-1.87703494296962,0.0740832636902443,0.977208286870888,-4.43872473010588,1,0,0
"A4GNT",1,0,0,-1.06411391070832,-5.94719763023011,-1.35781501092988,0.188535279662079,0.977208286870888,-4.54307101321238,1,0,0
"AAA1",1,0,0,0.022811690299128,-7.59645486699663,0.204151789662349,0.840145677601799,0.977208286870888,-4.67169301838964,1,0,0
"AAAS",1,0,0,-0.00391381417099623,6.52122050432267,-0.0196675412416658,0.984489086548519,0.998583574018019,-4.67487316071739,1,0,0
"AACS",1,0,0,0.022811690299128,-7.59645486699663,0.204151789662349,0.840145677601799,0.977208286870888,-4.67169301838964,1,0,0
"AACSL",1,0,0,0.356361783597095,3.8208856347816,1.39150532129363,0.178234851713715,0.977208286870888,-4.53695529162585,1,0,0
"AADAC",1,0,0,0.022811690299128,-7.59645486699663,0.204151789662349,0.840145677601799,0.977208286870888,-4.67169301838964,1,0,0
"AADACL2",1,0,0,-0.0541543851421276,-7.44874613068176,-0.282826786635374,0.780001594080207,0.977208286870888,-4.66875227789765,1,0,0
"AADACL3",1,0,0,0.222031344620761,-7.49210171473292,1.02664845392381,0.315943638382057,0.977208286870888,-4.5970951191062,1,0,0
"AADACL4",1,0,0,0.352101110818989,-7.42396993243861,1.08138171478407,0.291450237286219,0.977208286870888,-4.58898423943249,1,0,0
"AADAT",1,0,0,-2.40375882954913,-0.923894790462637,-1.92503443713727,0.0674910607546149,0.977208286870888,-4.42816747651507,1,0,0
"AAGAB",1,0,0,-0.248817374090039,5.01950062772158,-1.99561607007362,0.0587362205223215,0.977208286870888,-4.41242821673829,1,0,0
"AAK1",1,0,0,0.335869845065523,6.51002160792063,1.18020777153184,0.250748916613298,0.977208286870888,-4.57348781092745,1,0,0
"AAMP",1,0,0,-0.0235545339464878,5.75372204246195,-0.121664885887905,0.904288919684475,0.986220046200516,-4.67376163340894,1,0,0
"AANAT",1,0,0,-0.256615237524501,-2.09536560562553,-0.5049510336037,0.618705101838838,0.977208286870888,-4.65544271770033,1,0,0
"AARS",1,0,0,0.161640907402793,4.40668362120977,0.678705050918133,0.504530486032793,0.977208286870888,-4.64004987934814,1,0,0
"AARS2",1,0,0,-0.0221115618450227,7.42165273195605,-0.0943222602292604,0.925722457014481,0.990173046630406,-4.67421683017292,1,0,0
"AARSD1",1,0,0,0.288374620984183,5.1651989352161,1.32162262808599,0.200118351807952,0.977208286870888,-4.54952233357639,1,0,0
"AASDH",1,0,0,-0.175255495771268,3.46742399634065,-0.846715203430084,0.406435175952465,0.977208286870888,-4.62123684980858,1,0,0
